trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
393	93	0	1	1	3	1	1	1.0	1	2012	4	8	7	14.0	38	1	1	1	735	0.1891666669999999	0.0505555559999999	0.098055556	0.0	0.033888889	0.0	0	0.061666667	1.5	0.15	0.0	0.418919
402	95	0	5	3	5	1	1	1.0	1	2012	4	8	7	17.01666667	26	0	1	1	4117	0.934722222	0.348055556	0.041388889	0.166666667	0.0	0.0	0	0.400277778	2.4	0.92	0.0	0.598196
413	96	1	0	4	3	2	1	1.0	1	2012	4	8	7	12.0	52	0	1	1	9272	2.203055556	0.628888889	0.083333333	0.183333333	0.476388889	0.15	1	0.4769444439999999	3.79	1.29	0.0	0.287129
453	102	2	1	4	5	2	3	0.0	1	2012	4	9	1	14.0	12	1	0	2	5328	1.523611111	0.54	0.2275	0.0	0.433333333	0.0	0	0.299722222	0.0	0.94	0.0	0.137164
465	108	0	3	4	3	1	1	1.0	1	2012	4	9	1	22.25	41	1	1	2	6989	1.5897222219999998	0.474722222	0.336944444	0.0	0.316666667	0.0	0	0.223055556	1.5	0.96	0.0	0.138232
468	110	0	1	4	3	1	1	1.0	1	2012	4	9	1	11.5	57	0	1	2	6331	1.519444444	0.405555556	0.071944444	0.0	0.5	0.0	0	0.263333333	1.5	0.99	0.0	0.219409
478	113	0	1	1	5	1	1	1.0	1	2012	4	9	1	12.5	53	0	1	2	903	0.232222222	0.1047222219999999	0.093611111	0.0	0.111388889	0.0	0	0.081944444	1.5	0.24	0.0	0.437288
511	123	1	4	4	3	2	1	1.0	1	2012	4	10	2	22.83333333	55	0	1	1	1554	0.4325	0.151944444	0.0855555559999999	0.0	0.125	0.136944444	1	0.106388889	3.0	0.26	0.0	0.00522193
517	125	1	3	4	3	6	1	1.0	1	2012	4	10	2	16.0	37	1	1	2	736	0.198611111	0.078888889	0.073888889	0.0	0.041944444	0.0	0	0.040555556	1.5	0.12	0.0	0.10274
522	126	0	2	1	3	1	1	1.0	1	2012	4	10	2	16.0	49	0	1	1	813	0.232222222	0.0847222219999999	0.120555556	0.0	0.038611111	0.0	0	0.053055556	1.5	0.16	0.0	0.078534
523	126	0	3	1	3	1	1	1.0	1	2012	4	10	2	16.35	49	0	1	1	813	0.2394444439999999	0.066944444	0.135277778	0.0	0.041944444	0.0	0	0.046388889	1.5	0.15	0.0	0.0718563
535	127	5	0	4	2	2	5	0.0	1	2012	4	10	2	8.666666667000001	5	1	0	1	1118	0.252222222	0.0633333329999999	0.056388889	0.0	0.083333333	0.0	0	0.075833333	0.0	0.16	0.0	0.406593
542	129	0	2	4	4	2	1	1.0	1	2012	4	10	2	14.25	46	0	1	1	1268	0.303333333	0.1125	0.101944444	0.0	0.081666667	0.0	0	0.075833333	1.5	0.2	0.0	0.117216
543	129	0	3	4	1	2	1	1.0	1	2012	4	10	2	19.66666667	46	0	1	1	4426	1.0786111109999998	0.384166667	0.197777778	0.0	0.4158333329999999	0.213888889	2	0.297777778	4.5	0.78	0.0	0.317164
551	132	0	0	3	5	6	1	0.5	1	2012	4	11	3	9.5	25	1	0	0	3126	0.8422222220000001	0.251111111	0.202777778	0.0	0.3	0.0	0	0.255	0.75	0.62	0.0	0.38671
559	135	0	3	4	3	2	5	0.0	1	2012	4	11	3	18.25	63	0	1	2	1401	0.360833333	0.126944444	0.1425	0.0	0.123333333	0.0	0	0.1397222219999999	0.0	0.26	0.0	0.421471
565	138	1	0	4	3	1	1	1.0	1	2012	4	11	3	12.0	24	1	1	2	5794	1.533055556	0.431388889	0.111666667	0.0	0.418055556	0.178611111	1	0.297777778	3.0	1.0	0.0	0.137127
568	139	0	2	3	3	6	5	0.0	1	2012	4	11	3	10.41666667	84	1	0	0	3010	0.893333333	0.285833333	0.2	0.066666667	0.0	0.0	0	0.1891666669999999	0.0	0.59	0.0	0.1600589999999999
570	140	0	1	4	4	6	1	1.0	1	2012	4	11	3	8.75	57	1	1	2	4813	1.3	0.429722222	0.116944444	0.0	0.6361111110000001	0.0	0	0.384444444	1.5	0.98	0.0	0.461705
617	151	0	1	4	3	6	1	1.0	1	2012	4	12	4	18.75	21	1	0	0	1543	0.4225	0.107777778	0.213888889	0.0	0.076111111	0.0	0	0.120277778	1.5	0.36	0.0	0.184758
622	152	0	2	4	3	1	1	0.0	1	2012	4	12	4	18.0	35	0	1	1	29701	6.5625	2.231388889	0.121388889	1.083333333	0.0	0.2	2	1.448888889	5.09	4.88	10.5	0.548696
642	154	0	1	3	1	2	1	1.0	1	2012	4	12	4	17.5	54	0	1	1	17618	3.915833333	1.386944444	0.258611111	0.85	0.0	0.0	0	1.246666667	1.7	2.78	0.0	0.676471
644	154	1	1	3	1	2	1	1.0	1	2012	4	12	4	15.0	53	1	0	1	2397	0.64	0.168611111	0.199166667	0.0	0.360833333	0.0	0	0.166388889	1.5	0.43	0.0	0.422371
649	156	3	0	3	2	1	1	1.0	1	2012	4	12	4	16.0	19	0	1	1	4021	1.060277778	0.3291666669999999	0.160277778	0.0	0.369722222	0.2375	2	0.363055556	4.5	0.9	0.0	0.467483
654	157	1	4	4	4	1	1	1.0	1	2012	4	12	4	19.5	28	1	1	1	11196	2.537222222	0.916388889	0.047777778	0.2666666669999999	0.4708333329999999	0.283333333	2	0.8602777779999999	5.4	2.2	0.0	0.5476270000000001
655	158	0	0	3	3	1	1	1.0	1	2012	4	12	4	15.0	20	1	0	1	2676	0.658611111	0.181388889	0.206666667	0.0	0.2075	0.0	0	0.190555556	1.5	0.5	0.0	0.430029
668	160	0	1	1	3	2	5	0.0	1	2012	4	12	4	12.33333333	77	0	1	2	1926	0.475	0.159722222	0.195	0.0	0.2375	0.0	0	0.155833333	0.0	0.44	0.0	0.319073
728	179	1	0	4	1	1	1	1.0	1	2012	4	13	5	10.0	59	0	1	1	8773	1.925	0.533611111	0.223333333	0.466666667	0.0	0.1166666669999999	1	0.512777778	5.0	1.41	0.0	0.56013
734	179	5	0	3	3	2	1	1.0	1	2012	4	13	5	13.75	25	0	0	1	1140	0.249444444	0.081388889	0.024722222	0.0	0.0922222219999999	0.0	0	0.0705555559999999	1.5	0.15	0.0	0.326772
766	184	2	0	4	3	2	3	0.0	1	2012	4	14	6	14.0	14	1	0	2	9886	2.514444444	0.782222222	0.080555556	0.0	0.895277778	0.154444444	1	0.465555556	0.0	1.47	0.0	0.301909
783	187	1	0	4	3	2	5	0.0	1	2012	4	14	6	10.0	74	1	0	1	9141	2.238888889	0.7075	0.101388889	0.1	0.589166667	0.083333333	1	0.544722222	0.0	1.34	0.0	0.427843
791	190	0	1	2	3	1	5	0.0	1	2012	4	14	6	12.5	62	1	1	2	3724	0.939166667	0.255833333	0.4013888889999999	0.0	0.2666666669999999	0.0	0	0.263333333	0.0	0.72	0.0	0.628692
809	195	1	1	4	3	1	1	0.0	1	2012	4	14	6	10.0	71	1	1	2	1675	0.5527777779999999	0.1769444439999999	0.130833333	0.0	0.133333333	0.0	0	0.15	0.0	0.44	0.0	0.138889
810	196	0	0	1	3	1	4	1.0	1	2012	4	14	6	12.0	25	1	1	1	1112	0.301944444	0.136944444	0.098611111	0.0	0.1175	0.0	0	0.105555556	1.5	0.3	0.0	0.255263
826	199	3	0	4	3	2	3	0.0	1	2012	4	15	7	19.0	11	0	0	2	9053	2.103611111	0.686111111	0.235833333	0.0	0.496666667	0.0	0	0.5030555560000001	0.0	1.31	0.0	0.50138
830	200	1	2	1	3	2	1	1.0	1	2012	4	15	7	13.5	58	1	1	1	1493	0.365833333	0.100277778	0.181111111	0.0	0.073888889	0.0	0	0.0775	1.5	0.21	0.0	0.0645160999999999
851	205	1	1	1	3	6	5	0.0	1	2012	4	15	7	17.0	87	0	1	0	982	0.2625	0.070833333	0.1844444439999999	0.0	0.075	0.0	0	0.088333333	0.0	0.19	0.0	0.4056599999999999
856	208	2	0	2	3	2	1	1.0	1	2012	4	15	7	11.5	21	1	0	1	1240	0.285555556	0.1172222219999999	0.040555556	0.0	0.138055556	0.0	0	0.082777778	1.5	0.19	0.0	0.379195
857	208	2	1	2	3	2	1	1.0	1	2012	4	15	7	13.66666667	21	1	0	1	1240	0.281111111	0.118888889	0.071388889	0.0	0.080555556	0.0	0	0.106111111	1.5	0.22	0.0	0.581152
889	213	1	1	4	5	1	5	0.0	1	2012	4	15	7	14.0	85	1	0	1	3960	0.901944444	0.2344444439999999	0.185	0.0	0.2372222219999999	0.0	0	0.147777778	0.0	0.54	0.0	0.218045
918	220	0	0	4	1	1	1	1.0	1	2012	4	16	1	13.25	25	0	1	1	1854	0.8561111109999999	0.218333333	0.086388889	0.0	0.320277778	0.307777778	2	0.190277778	4.5	0.68	0.0	0.19562
921	220	1	1	4	3	2	1	1.0	1	2012	4	16	1	16.91666667	46	1	1	1	968	0.273611111	0.066666667	0.126388889	0.0	0.064722222	0.0	0	0.0725	1.5	0.17	0.0	0.0498084
943	224	2	1	3	2	6	5	0.0	1	2012	4	16	1	15.5	7	0	0	0	2800	0.7175	0.191944444	0.057222222	0.0	0.295	0.127222222	1	0.2072222219999999	0.0	0.58	0.0	0.182306
947	225	0	3	1	3	1	5	0.0	1	2012	4	16	1	18.08333333	66	1	0	1	410	0.093888889	0.0388888889999999	0.032777778	0.0	0.032777778	0.0	0	0.036666667	0.0	0.1	0.0	0.19697
956	226	0	5	3	5	6	5	0.0	1	2012	4	16	1	15.08333333	71	0	0	0	6143	1.489166667	0.441666667	0.040555556	0.0	0.381666667	0.0	0	0.311388889	0.0	1.04	0.0	0.2051739999999999
975	232	0	3	4	2	1	4	1.0	1	2012	4	17	2	21.25	42	1	1	1	7881	2.025	0.605833333	0.655833333	0.3	0.0	0.0	0	0.321944444	1.25	1.24	0.0	0.0560827999999999
979	232	1	3	1	5	1	1	1.0	1	2012	4	17	2	15.58333333	43	0	1	1	1060	0.272777778	0.088055556	0.056944444	0.0	0.066666667	0.0	0	0.063055556	1.5	0.17	0.0	0.251101
1001	233	0	4	4	3	1	1	1.0	1	2012	4	17	2	17.16666667	48	1	1	1	5257	1.265555556	0.4352777779999999	0.39	0.0	0.316666667	0.0	0	0.256666667	1.5	0.9	0.0	0.329004
1021	236	0	3	1	5	6	1	1.0	1	2012	4	17	2	13.28333333	28	0	1	0	564	0.183333333	0.083333333	0.0275	0.0	0.115277778	0.0	0	0.096944444	1.5	0.18	10.5	0.355301
1079	247	0	2	1	4	6	1	1.0	1	2012	4	17	2	18.0	49	1	0	0	627	0.283333333	0.075833333	0.0991666669999999	0.0	0.1	0.0	0	0.091666667	1.5	0.21	0.0	0.239394
1086	248	0	4	1	3	6	5	0.0	1	2012	4	18	3	16.58333333	65	0	0	0	476	0.154444444	0.051666667	0.076944444	0.0	0.0436111109999999	0.0	0	0.05	0.0	0.11	0.0	0.1611109999999999
1115	253	1	1	1	2	6	5	0.0	1	2012	4	18	3	15.5	7	1	0	0	359	0.1011111109999999	0.0258333329999999	0.0313888889999999	0.0	0.05	0.0	0	0.053333333	0.0	0.11	0.0	0.0
1118	254	1	0	4	1	2	5	0.0	1	2012	4	18	3	8.0	62	0	1	1	3509	0.9025	0.2844444439999999	0.275	0.05	0.115277778	0.083333333	1	0.285555556	0.0	0.67	0.0	0.174125
1128	255	3	0	1	2	6	1	0.0	1	2012	4	18	3	8.5	18	1	0	0	1100	0.325277778	0.131111111	0.153055556	0.0	0.074444444	0.0	0	0.110833333	0.0	0.26	0.0	0.388471
1140	257	1	2	3	2	1	1	1.0	1	2012	4	18	3	14.75	37	1	0	2	881	0.245833333	0.0608333329999999	0.11	0.0	0.059166667	0.0	0	0.056666667	1.5	0.17	0.0	0.367647
1160	261	1	1	3	2	6	3	0.0	1	2012	4	18	3	15.5	15	1	0	0	5739	1.284166667	0.358611111	0.166111111	0.0	0.345	0.0	0	0.3325	0.0	0.98	0.0	0.383459
1163	262	0	4	4	3	1	1	1.0	1	2012	4	18	3	15.5	32	1	1	2	2536	0.610833333	0.161111111	0.115833333	0.0	0.200833333	0.0	0	0.1694444439999999	1.5	0.45	0.0	0.227869
1191	268	1	0	1	4	6	1	1.0	1	2012	4	19	4	9.0	48	1	0	0	1588	0.477777778	0.155277778	0.190277778	0.0	0.1888888889999999	0.0	0	0.147777778	1.5	0.33	0.0	0.2687969999999999
1224	272	1	1	3	1	6	1	0.0	1	2012	4	19	4	18.5	35	1	0	0	11106	2.585555556	0.7225	0.109722222	0.2166666669999999	0.465555556	0.255555556	2	0.693333333	1.5	1.88	0.0	0.5
1250	279	0	0	4	3	1	1	1.0	1	2012	4	19	4	8.666666667000001	60	1	1	1	882	0.226666667	0.0736111109999999	0.133333333	0.0	0.058333333	0.0	0	0.081388889	1.5	0.28	0.0	0.331058
1260	280	3	1	3	1	1	1	1.0	1	2012	4	19	4	18.5	34	1	0	1	8619	2.029444444	0.7511111109999999	0.259166667	0.283333333	0.0	0.0	0	0.6777777779999999	3.5	1.69	0.0	0.6590159999999999
1270	281	1	3	3	3	1	5	0.0	1	2012	4	19	4	21.25	68	0	1	2	7852	1.873611111	0.624444444	0.2613888889999999	0.333333333	0.0	0.1166666669999999	1	0.479722222	0.0	1.72	0.0	0.427331
1272	282	0	1	1	2	6	5	0.0	1	2012	4	19	4	15.33333333	33	1	0	0	1483	0.4144444439999999	0.146111111	0.152222222	0.0	0.2125	0.0	0	0.120833333	0.0	0.31	0.0	0.00229885
1297	283	2	5	4	3	1	2	0.0	1	2012	4	20	5	21.5	17	0	0	2	667	0.166388889	0.045833333	0.059166667	0.0	0.0388888889999999	0.0	0	0.034722222	0.0	0.11	0.0	0.04
1299	283	3	3	3	2	1	3	0.0	1	2012	4	20	5	17.0	15	0	0	2	3983	1.421944444	0.395	0.208888889	0.0	0.3833333329999999	0.0	0	0.238611111	0.0	0.82	0.0	0.135041
1369	295	1	0	4	3	1	5	0.0	1	2012	4	20	5	7.5	70	0	1	1	2037	0.498888889	0.139444444	0.133611111	0.0	0.133055556	0.0	0	0.145555556	0.0	0.43	0.0	0.322519
1385	296	1	3	4	5	2	4	1.0	1	2012	4	20	5	17.66666667	51	1	1	2	2313	0.5408333329999999	0.196944444	0.134166667	0.0	0.35	0.0	0	0.169166667	1.5	0.34	0.0	0.361248
1442	305	1	4	4	3	5	1	1.0	1	2012	4	20	5	15.0	35	0	1	1	1098	0.336944444	0.110277778	0.205277778	0.0	0.079444444	0.0	0	0.1172222219999999	1.5	0.39	0.0	0.218009
1478	312	2	1	4	3	1	1	0.5	1	2012	4	21	6	12.33333333	39	0	1	1	1221	0.3288888889999999	0.120833333	0.124722222	0.0	0.0872222219999999	0.0	0	0.096666667	0.75	0.26	0.0	0.267241
1481	313	0	2	1	3	6	1	1.0	1	2012	4	21	6	16.83333333	24	1	1	0	393	0.1155555559999999	0.056388889	0.078888889	0.0	0.040555556	0.0	0	0.048888889	1.5	0.09	0.0	0.130682
1508	319	2	2	1	3	6	5	0.0	1	2012	4	21	6	16.25	9	1	0	0	1250	0.355277778	0.135277778	0.1011111109999999	0.0	0.133611111	0.0	0	0.11	0.0	0.26	0.0	0.179293
1514	321	0	2	1	3	6	1	1.0	1	2012	4	21	6	13.33333333	40	1	1	2	319	0.063055556	0.0141666669999999	0.0	0.0	0.0175	0.0	0	0.010555556	1.5	0.04	0.0	0.315789
1517	321	3	1	1	3	2	5	0.0	1	2012	4	21	6	11.51666667	7	1	0	2	319	0.064722222	0.015555556	0.0	0.0	0.021111111	0.0	0	0.0097222219999999	0.0	0.03	0.0	0.0571428999999999
1541	325	1	7	4	5	2	1	1.0	1	2012	4	21	6	14.5	51	1	1	1	1827	0.576111111	0.17	0.189722222	0.0	0.192777778	0.0	0	0.148611111	1.5	0.4	0.0	0.207477
1604	335	1	0	3	3	6	1	1.0	1	2012	4	22	7	10.5	53	0	0	0	5980	1.473333333	0.4975	0.146388889	0.0	0.727777778	0.083333333	1	0.399166667	3.0	1.1	0.0	0.356298
1605	335	1	1	3	3	6	1	1.0	1	2012	4	22	7	15.33333333	53	0	0	0	5980	1.503611111	0.5822222220000001	0.221111111	0.133333333	0.233333333	0.15	1	0.417777778	3.0	1.07	0.0	0.444814
1612	336	0	0	3	4	1	1	1.0	1	2012	4	22	7	4.0	18	0	0	1	5538	1.344722222	0.480555556	0.075555556	0.0	0.3475	0.1166666669999999	1	0.2369444439999999	3.0	0.92	0.0	0.332943
1622	338	2	0	3	3	1	5	0.0	1	2012	4	22	7	11.5	6	0	0	1	11899	2.7155555560000004	0.838888889	0.131388889	0.4	0.413888889	0.140833333	1	0.6166666670000001	0.0	2.01	0.0	0.5265770000000001
1626	340	0	0	1	3	6	1	1.0	1	2012	4	22	7	14.0	43	0	0	0	513	0.149166667	0.0627777779999999	0.111111111	0.0	0.021666667	0.0	0	0.0608333329999999	1.5	0.12	0.0	0.0273973
1636	343	0	0	1	3	6	5	0.0	1	2012	4	22	7	12.0	70	1	1	0	369	0.110555556	0.049166667	0.081666667	0.0	0.034444444	0.0	0	0.053888889	0.0	0.09	0.0	0.438144
1641	346	0	0	4	2	1	1	1.0	1	2012	4	23	1	8.666666667000001	37	1	1	1	2494	0.596388889	0.1725	0.134722222	0.0	0.1	0.0	0	0.111944444	1.5	0.37	0.0	0.1067
1649	346	2	1	4	2	1	5	0.0	1	2012	4	23	1	15.5	8	1	0	1	2494	0.569722222	0.137222222	0.108333333	0.0	0.1166666669999999	0.0	0	0.1275	0.0	0.41	0.0	0.0849673
1675	351	5	1	3	2	1	3	0.0	1	2012	4	23	1	16.0	12	0	0	1	1474	0.393055556	0.135277778	0.111111111	0.0	0.170833333	0.0	0	0.135833333	0.0	0.32	0.0	0.0879346
1683	353	1	1	3	1	1	1	1.0	1	2012	4	23	1	19.0	42	0	1	1	14815	3.457777778	1.072777778	0.161111111	0.366666667	0.2144444439999999	0.1166666669999999	1	0.609444444	3.79	2.29	0.0	0.532361
1719	362	1	1	1	3	6	5	0.0	1	2012	4	24	2	12.0	68	1	0	0	408	0.120277778	0.0430555559999999	0.085277778	0.0	0.049444444	0.0	0	0.0580555559999999	0.0	0.14	0.0	0.339713
1754	365	3	2	4	3	1	5	0.0	1	2012	4	25	3	16.25	7	0	0	1	1088	0.338055556	0.0975	0.074722222	0.0	0.0891666669999999	0.0	0	0.091388889	0.0	0.25	0.0	0.0212766
1757	366	1	0	4	1	1	1	1.0	1	2012	4	25	3	9.0	27	0	1	2	7087	1.717222222	0.557222222	0.173611111	0.7333333329999999	0.0	0.1166666669999999	1	0.405555556	3.3	1.26	0.0	0.560959
1774	369	0	2	4	3	6	5	0.0	1	2012	4	25	3	13.83333333	78	1	0	0	3631	0.917222222	0.255555556	0.056666667	0.0	0.334722222	0.0	0	0.283611111	0.0	0.7	0.0	0.355534
1782	371	1	0	3	2	6	5	0.0	1	2012	4	25	3	8.5	5	1	0	0	704	0.19	0.081388889	0.101388889	0.0	0.0536111109999999	0.0	0	0.0847222219999999	0.0	0.17	0.0	0.429508
1807	375	0	1	2	5	6	1	1.0	1	2012	4	25	3	17.5	32	0	1	0	2403	0.646944444	0.224166667	0.078055556	0.083333333	0.0	0.1166666669999999	1	0.190555556	2.4	0.44	0.0	0.588921
1842	381	1	2	4	3	1	1	1.0	1	2012	4	26	4	14.5	37	1	1	1	2111	0.5175	0.212222222	0.074722222	0.0	0.164722222	0.173888889	1	0.131944444	3.0	0.4	0.0	0.231579
1903	395	1	1	1	5	6	1	1.0	1	2012	4	27	5	8.25	39	1	1	0	815	0.187777778	0.064166667	0.076111111	0.0	0.044444444	0.0	0	0.075	1.5	0.15	0.0	0.259259
1909	397	1	0	4	2	1	1	1.0	1	2012	4	27	5	8.5	38	1	1	2	1334	0.382222222	0.120277778	0.225277778	0.05	0.0	0.0	0	0.105277778	2.1	0.32	0.0	0.0765171
1916	397	3	0	4	2	2	5	0.0	1	2012	4	27	5	8.5	6	1	0	2	1334	0.382222222	0.120277778	0.225277778	0.05	0.0	0.0	0	0.105277778	0.0	0.28	0.0	0.0765171
1932	400	1	1	1	5	1	1	1.0	1	2012	4	27	5	12.0	36	0	0	1	219	0.165277778	0.056388889	0.1047222219999999	0.0	0.0313888889999999	0.0	0	0.070833333	1.5	0.15	0.0	0.0313726
1948	405	0	1	4	3	1	5	0.0	1	2012	4	28	6	15.33333333	68	0	1	1	3056	0.813888889	0.267777778	0.1719444439999999	0.0	0.194166667	0.0	0	0.156111111	0.0	0.55	0.0	0.158363
1957	408	1	0	4	3	1	1	1.0	1	2012	4	28	6	13.0	41	1	0	1	18692	4.610833333	1.3902777780000002	0.339444444	0.6166666670000001	0.1425	0.1166666669999999	1	1.026111111	4.3	4.31	0.0	0.5711970000000001
1961	408	3	0	4	3	1	3	0.0	1	2012	4	28	6	13.0	15	0	0	1	18692	4.610833333	1.3902777780000002	0.339444444	0.6166666670000001	0.1425	0.1166666669999999	1	1.026111111	0.75	4.31	0.0	0.5711970000000001
1975	409	2	1	3	5	6	1	1.0	1	2012	4	28	6	15.0	24	0	1	0	15919	3.789722222	1.145277778	0.148333333	0.483333333	0.2375	0.3288888889999999	3	1.029722222	5.29	2.68	0.0	0.401942
1980	409	3	3	3	3	6	1	1.0	1	2012	4	28	6	14.0	24	1	1	0	12367	2.836388889	0.8613888890000001	0.2775	0.6333333329999999	0.0	0.083333333	1	0.810277778	1.5	1.92	0.0	0.682208
1988	413	0	0	3	1	2	1	1.0	1	2012	4	28	6	8.5	24	1	1	2	4588	1.5552777780000002	0.476111111	0.1155555559999999	0.05	0.201388889	0.131944444	1	0.229722222	3.0	0.92	0.0	0.129383
2003	417	2	1	3	3	1	5	0.0	1	2012	4	28	6	16.0	8	0	0	2	7863	1.940277778	0.634166667	0.126944444	0.316666667	0.121111111	0.1	1	0.5327777779999999	0.0	1.47	0.0	0.633472
2031	422	0	2	4	3	4	1	1.0	1	2012	4	29	7	13.5	46	0	1	2	931	0.2119444439999999	0.068055556	0.06	0.0	0.036111111	0.0	0	0.064722222	1.5	0.26	0.0	0.274678
